I9N-S101-N01.trimmed	.02396542
I9N-S101-N03.trimmed	.05062283
I9N-S101-N06.trimmed	.03591171
I9N-S101-N08.trimmed	.00723118
I9N-S101-N10.trimmed	.03076454
I9N-S107-N01.trimmed	.01753346
I9N-S107-N03.trimmed	.02417700
I9N-S107-N06.trimmed	.02648241
I9N-S107-N08.trimmed	.03314476
I9N-S107-N10.trimmed	.02879187
I9N-S107-N12.trimmed	.01685345
I9N-S113-N01.trimmed	.02701944
I9N-S113-N03.trimmed	.02077524
I9N-S113-N06.trimmed	.06352231
I9N-S113-N08.trimmed	.00645448
I9N-S113-N10.trimmed	.02827300
I9N-S113-N12.trimmed	.00687223
I9N-S117-N01.trimmed	.02367391
I9N-S117-N03.trimmed	.05047488
I9N-S117-N06.trimmed	.04618473
I9N-S117-N08.trimmed	.05103121
I9N-S117-N10.trimmed	.01491575
I9N-S117-N12.trimmed	.00796357
I9N-S125-N01.trimmed	.04496179
I9N-S125-N03.trimmed	.06218866
I9N-S125-N06.trimmed	.04627675
I9N-S125-N08.trimmed	.04949710
I9N-S125-N10.trimmed	.00682821
I9N-S125-N12.trimmed	.01066764
I9N-S135-N01.trimmed	.02078637
I9N-S135-N03.trimmed	.02692964
I9N-S135-N06.trimmed	.09100450
I9N-S135-N08.trimmed	.07767987
I9N-S135-N10.trimmed	.05538678
I9N-S135-N12.trimmed	.02193223
I9N-S145-N01.trimmed	.01988549
I9N-S145-N03.trimmed	.04322794
I9N-S145-N06.trimmed	.03514835
I9N-S145-N08.trimmed	.05304109
I9N-S145-N10.trimmed	.01706637
I9N-S145-N12.trimmed	.00969302
I9N-S162-N01.trimmed	.02529697
I9N-S162-N03.trimmed	.02172687
I9N-S162-N06.trimmed	.02180685
I9N-S162-N08.trimmed	.01707869
I9N-S162-N10.trimmed	.38787540
I9N-S162-N12.trimmed	.03313665
I9N-S193-N01.trimmed	.01023321
I9N-S193-N03.trimmed	.01144158
I9N-S193-N06.trimmed	.01595773
I9N-S193-N08.trimmed	.02678907
I9N-S193-N10.trimmed	.29751071
I9N-S193-N12.trimmed	.02925119
I9N-S199-N01.trimmed	.01390031
I9N-S199-N03.trimmed	.01993562
I9N-S199-N06.trimmed	.01295487
I9N-S199-N08.trimmed	.02461675
I9N-S199-N10.trimmed	.04635447
I9N-S199-N12.trimmed	.02645797
I9N-S91-N01.trimmed	.02168244
I9N-S91-N03.trimmed	.01575195
I9N-S91-N06.trimmed	.00657675
I9N-S91-N08.trimmed	.00562237
I9N-S91-N10.trimmed	.01308691
I9N-S91-N12.trimmed	.00342186
I9N-S95-N01.trimmed	.02821163
I9N-S95-N03.trimmed	.02242970
I9N-S95-N06.trimmed	.01892636
I9N-S95-N08.trimmed	.02286730
I9N-S95-N10.trimmed	.04545454
I9N-S95-N12.trimmed	.01774523
